id,id2,state,districtNumber,districtName,party,district_url,representative,representative_photo_url,total_awards
5001500US3619,3619,New York,19,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/New_York%27s_19th_congressional_district,John Faso,https://upload.wikimedia.org/wikipedia/commons/c/c5/John_Faso_official_congressional_photo_%28cropped%29.jpg,0
5001500US3620,3620,New York,20,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_20th_congressional_district,Paul Tonko,https://upload.wikimedia.org/wikipedia/commons/f/f3/Paul_Tonko_114th_Congress_photo_%28cropped%29.jpg,37825
5001500US3621,3621,New York,21,ta-ordinal-st-m,republican,https://en.wikipedia.org/wiki/New_York%27s_21st_congressional_district,Elise Stefanik,https://upload.wikimedia.org/wikipedia/commons/8/89/Elise_Stefanik%2C_115th_official_photo_%28cropped%29.jpg,0
5001500US3622,3622,New York,22,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/New_York%27s_22nd_congressional_district,Claudia Tenney,https://upload.wikimedia.org/wikipedia/commons/9/92/Claudia_Tenney%2C_115th_official_photo_%28cropped%29.jpg,134152.2
5001500US3623,3623,New York,23,ta-ordinal-rd-m,republican,https://en.wikipedia.org/wiki/New_York%27s_23rd_congressional_district,Tom Reed,https://upload.wikimedia.org/wikipedia/commons/4/4f/TomReedNewOfficial_%28cropped%29.jpg,0
5001500US3624,3624,New York,24,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/New_York%27s_24th_congressional_district,John Katko,https://upload.wikimedia.org/wikipedia/commons/c/cc/John_Katko_%28cropped%29.jpg,9117.45
5001500US3625,3625,New York,25,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_25th_congressional_district,,,116594.41
5001500US3626,3626,New York,26,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_York%27s_26th_congressional_district,Brian Higgins,https://upload.wikimedia.org/wikipedia/commons/c/ca/Brian_Higgins_official_photo_%28cropped%29.jpg,216891.42
5001500US3627,3627,New York,27,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/New_York%27s_27th_congressional_district,Chris Collins,https://upload.wikimedia.org/wikipedia/commons/6/6d/Chris_Collins_official_photo_%28cropped%29.jpg,14620
5001500US3701,3701,North Carolina,1,ta-ordinal-st-m,democrat,https://en.wikipedia.org/wiki/North_Carolina%27s_1st_congressional_district,G. K. Butterfield,https://upload.wikimedia.org/wikipedia/commons/2/2d/G.K._Butterfield%2C_Official_portrait%2C_114th_Congress_%28cropped%29.jpg,6192
