story,lowercase,count
01: The Girl Who Raised Pigeons,fear,1
01: The Girl Who Raised Pigeons,feather,2
01: The Girl Who Raised Pigeons,feathers,3
01: The Girl Who Raised Pigeons,february,1
01: The Girl Who Raised Pigeons,fed,2
01: The Girl Who Raised Pigeons,feebleminded,1
01: The Girl Who Raised Pigeons,feed,5
01: The Girl Who Raised Pigeons,feel,2
01: The Girl Who Raised Pigeons,feet,5
01: The Girl Who Raised Pigeons,fell,1
01: The Girl Who Raised Pigeons,felt,4
01: The Girl Who Raised Pigeons,female,2
01: The Girl Who Raised Pigeons,fence,2
01: The Girl Who Raised Pigeons,fenn,1
01: The Girl Who Raised Pigeons,ffom,1
01: The Girl Who Raised Pigeons,ffor,1
01: The Girl Who Raised Pigeons,fht,1
01: The Girl Who Raised Pigeons,fiance,2
01: The Girl Who Raised Pigeons,field,1
01: The Girl Who Raised Pigeons,fight,1
01: The Girl Who Raised Pigeons,figured,2
01: The Girl Who Raised Pigeons,figures,1
01: The Girl Who Raised Pigeons,fill,1
01: The Girl Who Raised Pigeons,filled,2
01: The Girl Who Raised Pigeons,filling,2
01: The Girl Who Raised Pigeons,final,1
01: The Girl Who Raised Pigeons,finally,1
01: The Girl Who Raised Pigeons,find,6
01: The Girl Who Raised Pigeons,finger,1
01: The Girl Who Raised Pigeons,fingers,2
01: The Girl Who Raised Pigeons,firewood,1
01: The Girl Who Raised Pigeons,first,27
01: The Girl Who Raised Pigeons,fish,2
01: The Girl Who Raised Pigeons,fist,1
01: The Girl Who Raised Pigeons,five,1
01: The Girl Who Raised Pigeons,flapped,1
01: The Girl Who Raised Pigeons,flapping,2
01: The Girl Who Raised Pigeons,flashlight,1
01: The Girl Who Raised Pigeons,flavored,1
01: The Girl Who Raised Pigeons,flesh,2
01: The Girl Who Raised Pigeons,flew,3
01: The Girl Who Raised Pigeons,flight,1
01: The Girl Who Raised Pigeons,flirted,1
01: The Girl Who Raised Pigeons,flock,1
01: The Girl Who Raised Pigeons,floor,4
01: The Girl Who Raised Pigeons,floppy,1
01: The Girl Who Raised Pigeons,flower,1
01: The Girl Who Raised Pigeons,flown,2
01: The Girl Who Raised Pigeons,flutter,2
01: The Girl Who Raised Pigeons,fluttering,2
01: The Girl Who Raised Pigeons,fly,5
01: The Girl Who Raised Pigeons,flyin,1
01: The Girl Who Raised Pigeons,flying,1
01: The Girl Who Raised Pigeons,followed,4
01: The Girl Who Raised Pigeons,following,3
01: The Girl Who Raised Pigeons,foot,5
01: The Girl Who Raised Pigeons,forever,5
01: The Girl Who Raised Pigeons,forget,1
01: The Girl Who Raised Pigeons,forlorn,1
01: The Girl Who Raised Pigeons,formula,1
01: The Girl Who Raised Pigeons,forth,1
01: The Girl Who Raised Pigeons,fortified,1
01: The Girl Who Raised Pigeons,found,8
01: The Girl Who Raised Pigeons,four,5
01: The Girl Who Raised Pigeons,fragment,1
01: The Girl Who Raised Pigeons,fragments,1
01: The Girl Who Raised Pigeons,free,1
01: The Girl Who Raised Pigeons,fresh,1
01: The Girl Who Raised Pigeons,friday,1
01: The Girl Who Raised Pigeons,friends,4
01: The Girl Who Raised Pigeons,frightened,1
01: The Girl Who Raised Pigeons,front,7
01: The Girl Who Raised Pigeons,fruit,1
01: The Girl Who Raised Pigeons,full,1
01: The Girl Who Raised Pigeons,fully,2
01: The Girl Who Raised Pigeons,funny,1
01: The Girl Who Raised Pigeons,furious,1
01: The Girl Who Raised Pigeons,fuss,1
01: The Girl Who Raised Pigeons,gallinger,1
01: The Girl Who Raised Pigeons,garbled,1
01: The Girl Who Raised Pigeons,garden,2
01: The Girl Who Raised Pigeons,gardener,1
01: The Girl Who Raised Pigeons,gave,9
01: The Girl Who Raised Pigeons,generally,2
